Description	Contigs
MaxBin #001	k99_78679,k99_93042,k99_57715,k99_57745,k99_57832,k99_93110,k99_107470,k99_43609,k99_100426,k99_50909,k99_100464,k99_1073,k99_134940,k99_43821,k99_57012,k99_65032,k99_129144,k99_44049,k99_86528,k99_51304,k99_72516,k99_72520,k99_72532,k99_122285,k99_51509,k99_122337,k99_37178,k99_108349,k99_7352,k99_136876,k99_94165,k99_115435,k99_8936,k99_80074,k99_115587,k99_52033,k99_7353,k99_92532,k99_80248,k99_115804,k99_130001,k99_115890,k99_80615,k99_23780,k99_66385,k99_113864,k99_73475,k99_101768,k99_73532,k99_123215,k99_80880,k99_24267,k99_138266,k99_53153,k99_109867,k99_120716,k99_85472,k99_117105,k99_81805,k99_88913,k99_10594,k99_3514,k99_28815,k99_82229,k99_7527,k99_132098,k99_32845,k99_18724,k99_124820,k99_14644,k99_26144,k99_34155,k99_55563,k99_5752,k99_417,k99_92796,k99_64382,k99_70661,k99_20985,k99_78157,k99_127646,k99_127702,k99_99897
MaxBin #002	k99_43308,k99_64529,k99_36322,k99_86007,k99_93080,k99_36411,k99_29385,k99_93112,k99_22335,k99_72107,k99_136068,k99_43683,k99_50935,k99_72164,k99_50999,k99_29690,k99_1094,k99_57009,k99_107783,k99_1161,k99_107932,k99_114936,k99_51287,k99_22728,k99_1339,k99_71178,k99_22855,k99_136606,k99_57033,k99_58567,k99_8636,k99_172,k99_1754,k99_108508,k99_72912,k99_65963,k99_108719,k99_101472,k99_122779,k99_115816,k99_52356,k99_23777,k99_135121,k99_24008,k99_52777,k99_95150,k99_66690,k99_81096,k99_81124,k99_95387,k99_45863,k99_7465,k99_116774,k99_53316,k99_10393,k99_32023,k99_53395,k99_88763,k99_24911,k99_7495,k99_74542,k99_106871,k99_135217,k99_106899,k99_103223,k99_75009,k99_124566,k99_96929,k99_7535,k99_4449,k99_4569,k99_11667,k99_140622,k99_28859,k99_90819,k99_7577,k99_50307,k99_133623,k99_48675,k99_27740,k99_12936,k99_41879,k99_43286,k99_78545
MaxBin #003	k99_64494,k99_71635,k99_15027,k99_43352,k99_135681,k99_127837,k99_135766,k99_29291,k99_22265,k99_135862,k99_7966,k99_78984,k99_919,k99_7278,k99_43730,k99_136129,k99_29669,k99_8326,k99_79340,k99_129165,k99_29838,k99_136622,k99_8568,k99_72615,k99_72663,k99_65635,k99_86961,k99_108320,k99_101033,k99_37344,k99_8899,k99_30498,k99_16499,k99_101385,k99_135070,k99_85412,k99_66032,k99_59063,k99_123050,k99_123055,k99_234,k99_73912,k99_102384,k99_60179,k99_92706,k99_28787,k99_60605,k99_124135,k99_25247,k99_263,k99_96445,k99_135214,k99_3881,k99_61055,k99_85559,k99_117971,k99_54238,k99_111114,k99_75258,k99_61466,k99_99765,k99_92737,k99_69052,k99_90704,k99_133411,k99_84357,k99_85753,k99_128415
MetaBAT #9	k99_78679,k99_93042,k99_57715,k99_57745,k99_93080,k99_57832,k99_93110,k99_107470,k99_43609,k99_22335,k99_100426,k99_50909,k99_50935,k99_100464,k99_50999,k99_1073,k99_107783,k99_57012,k99_65032,k99_107932,k99_129144,k99_44049,k99_86528,k99_51304,k99_72516,k99_22855,k99_72532,k99_15992,k99_51509,k99_57033,k99_122337,k99_8636,k99_37178,k99_108349,k99_7352,k99_136876,k99_94165,k99_115435,k99_8936,k99_72912,k99_65963,k99_7353,k99_92532,k99_101472,k99_80248,k99_130001,k99_115890,k99_52356,k99_66385,k99_113864,k99_101768,k99_73532,k99_123215,k99_80880,k99_81124,k99_24267,k99_138266,k99_53153,k99_109867,k99_120716,k99_85472,k99_117105,k99_81805,k99_74542,k99_10594,k99_3514,k99_106871,k99_7527,k99_132098,k99_75009,k99_7535,k99_32845,k99_18724,k99_124820,k99_14644,k99_26144,k99_140622,k99_28859,k99_7577,k99_133623,k99_34155,k99_55563,k99_5752,k99_417,k99_64382,k99_70661,k99_20985,k99_127702,k99_99897
MetaBAT #28	k99_43308,k99_64529,k99_71635,k99_36322,k99_100127,k99_127837,k99_22265,k99_135862,k99_22283,k99_93112,k99_57988,k99_7278,k99_136068,k99_43683,k99_43730,k99_72164,k99_136129,k99_1094,k99_8326,k99_1161,k99_79340,k99_114936,k99_51287,k99_29838,k99_1339,k99_36898,k99_71178,k99_136622,k99_8568,k99_72663,k99_58567,k99_65635,k99_172,k99_37344,k99_1754,k99_8899,k99_30498,k99_9027,k99_16499,k99_101385,k99_135070,k99_108719,k99_85412,k99_66032,k99_122779,k99_59063,k99_87327,k99_16608,k99_115816,k99_23777,k99_123050,k99_123055,k99_234,k99_24008,k99_52777,k99_95150,k99_66690,k99_81096,k99_95387,k99_73912,k99_116774,k99_60179,k99_10393,k99_32023,k99_53395,k99_88763,k99_92706,k99_28787,k99_7495,k99_60605,k99_17894,k99_89221,k99_263,k99_96445,k99_135214,k99_103223,k99_61055,k99_117971,k99_54238,k99_111114,k99_75258,k99_99765,k99_92737,k99_11465,k99_11667,k99_90704,k99_90819,k99_50307,k99_34184,k99_48675,k99_121184,k99_84357,k99_27740,k99_12936,k99_41879,k99_43286,k99_85753,k99_78545,k99_128415
Blob of E. coli contigs	k99_50452,k99_14851,k99_36231,k99_121258,k99_78582,k99_29021,k99_43308,k99_85777,k99_22023,k99_36268,k99_78624,k99_64529,k99_128486,k99_71635,k99_107190,k99_15027,k99_78679,k99_43352,k99_135681,k99_93042,k99_36322,k99_93076,k99_57715,k99_100127,k99_127837,k99_22166,k99_57745,k99_121437,k99_86007,k99_93080,k99_135766,k99_100183,k99_43431,k99_22248,k99_100223,k99_36411,k99_7955,k99_22265,k99_135862,k99_57832,k99_7966,k99_22283,k99_93110,k99_29385,k99_93112,k99_135892,k99_100296,k99_107452,k99_63978,k99_107470,k99_78984,k99_43609,k99_919,k99_22335,k99_166,k99_29412,k99_86156,k99_29417,k99_121667,k99_57966,k99_64807,k99_79017,k99_107574,k99_36493,k99_72107,k99_57988,k99_7278,k99_100426,k99_136032,k99_996,k99_86216,k99_100432,k99_93269,k99_50909,k99_100433,k99_136068,k99_100434,k99_64910,k99_21432,k99_43683,k99_29538,k99_50935,k99_63982,k99_1035,k99_1036,k99_58048,k99_100464,k99_86272,k99_8276,k99_43730,k99_64935,k99_72164,k99_86314,k99_50999,k99_136129,k99_36656,k99_1073,k99_114729,k99_29669,k99_1083,k99_64991,k99_29690,k99_134940,k99_1094,k99_57009,k99_43821,k99_8313,k99_107783,k99_8326,k99_57012,k99_129032,k99_1161,k99_79340,k99_79349,k99_65032,k99_58281,k99_43975,k99_114845,k99_93578,k99_114872,k99_1248,k99_93604,k99_79459,k99_107924,k99_51256,k99_107932,k99_114936,k99_129144,k99_44049,k99_86528,k99_51287,k99_22728,k99_1325,k99_51304,k99_129165,k99_29838,k99_93695,k99_1339,k99_92459,k99_51325,k99_36898,k99_72501,k99_72516,k99_15933,k99_72520,k99_71178,k99_29990,k99_22855,k99_36992,k99_72532,k99_136606,k99_8560,k99_15990,k99_37021,k99_122285,k99_15992,k99_136622,k99_86794,k99_51509,k99_8568,k99_72615,k99_115171,k99_30128,k99_57033,k99_72663,k99_122337,k99_58567,k99_108249,k99_136677,k99_8636,k99_16102,k99_37178,k99_65635,k99_37191,k99_86961,k99_108320,k99_79867,k99_22965,k99_16213,k99_108349,k99_129508,k99_72746,k99_7352,k99_122510,k99_51711,k99_172,k99_42611,k99_37341,k99_37344,k99_136876,k99_1754,k99_94165,k99_115435,k99_8897,k99_8899,k99_108508,k99_58680,k99_87127,k99_80004,k99_180,k99_136936,k99_8936,k99_87161,k99_115544,k99_129646,k99_72911,k99_30498,k99_80074,k99_72912,k99_115587,k99_72916,k99_72936,k99_9027,k99_16499,k99_94356,k99_23223,k99_101385,k99_9094,k99_135070,k99_65963,k99_108719,k99_73032,k99_85412,k99_52033,k99_7353,k99_92532,k99_66032,k99_101472,k99_80216,k99_122779,k99_45021,k99_115742,k99_80248,k99_115804,k99_30825,k99_9316,k99_59063,k99_87327,k99_16608,k99_87337,k99_59084,k99_2147,k99_115816,k99_37807,k99_135104,k99_130001,k99_115890,k99_109066,k99_23637,k99_120842,k99_109076,k99_2306,k99_130123,k99_94781,k99_52356,k99_137543,k99_80615,k99_115995,k99_23777,k99_66385,k99_123050,k99_113864,k99_116067,k99_123055,k99_16969,k99_38089,k99_73475,k99_87787,k99_66489,k99_31123,k99_101768,k99_2466,k99_2477,k99_52597,k99_80835,k99_52626,k99_73532,k99_59480,k99_234,k99_123215,k99_23975,k99_137773,k99_2537,k99_135121,k99_80880,k99_101895,k99_2581,k99_31278,k99_73593,k99_24008,k99_52773,k99_52777,k99_95150,k99_31339,k99_66690,k99_101957,k99_2693,k99_81051,k99_101990,k99_116492,k99_81096,k99_73768,k99_81112,k99_81124,k99_252,k99_116568,k99_59792,k99_24267,k99_2821,k99_10020,k99_109795,k99_38552,k99_95387,k99_130823,k99_81233,k99_31533,k99_138266,k99_10064,k99_45863,k99_7465,k99_73912,k99_59941,k99_45912,k99_31667,k99_53153,k99_102314,k99_135166,k99_109867,k99_60035,k99_102376,k99_102384,k99_116774,k99_131077,k99_67088,k99_74009,k99_81387,k99_123682,k99_60127,k99_88562,k99_60179,k99_138522,k99_131222,k99_17467,k99_81523,k99_39001,k99_131271,k99_53299,k99_53316,k99_10393,k99_53323,k99_53342,k99_120716,k99_39105,k99_32023,k99_85472,k99_53395,k99_67340,k99_24816,k99_32040,k99_88763,k99_43024,k99_123867,k99_117105,k99_24911,k99_92706,k99_24923,k99_28787,k99_81805,k99_88913,k99_7495,k99_74542,k99_60605,k99_10594,k99_131660,k99_46559,k99_60634,k99_17894,k99_10621,k99_92727,k99_3514,k99_28815,k99_106871,k99_32439,k99_53732,k99_139187,k99_89221,k99_25247,k99_106874,k99_96379,k99_60860,k99_263,k99_39619,k99_60883,k99_82229,k99_131868,k99_60893,k99_67932,k99_96445,k99_7527,k99_135214,k99_3881,k99_139534,k99_132098,k99_135217,k99_18280,k99_106899,k99_103223,k99_117752,k99_61055,k99_75009,k99_96767,k99_47194,k99_124554,k99_25649,k99_124566,k99_106927,k99_85559,k99_11099,k99_117971,k99_25709,k99_96929,k99_54238,k99_25775,k99_7535,k99_32845,k99_111114,k99_40013,k99_75258,k99_18724,k99_61466,k99_54394,k99_99765,k99_54473,k99_18850,k99_124820,k99_4449,k99_92737,k99_11465,k99_61637,k99_90109,k99_14644,k99_54553,k99_64323,k99_43144,k99_7541,k99_40304,k99_83076,k99_26144,k99_54684,k99_83233,k99_11667,k99_19186,k99_75794,k99_54847,k99_140622,k99_47817,k99_69052,k99_28859,k99_62035,k99_14682,k99_125297,k99_64336,k99_47965,k99_33648,k99_90704,k99_64337,k99_118937,k99_83578,k99_33733,k99_76197,k99_90819,k99_7577,k99_119082,k99_97995,k99_83660,k99_19671,k99_50307,k99_98040,k99_133411,k99_63958,k99_19692,k99_69605,k99_62518,k99_119228,k99_12148,k99_12159,k99_27037,k99_76404,k99_34044,k99_119285,k99_21862,k99_27090,k99_55478,k99_133623,k99_34155,k99_119413,k99_34184,k99_119457,k99_69826,k99_55563,k99_69848,k99_126049,k99_48675,k99_91346,k99_141448,k99_5752,k99_133914,k99_91390,k99_55785,k99_121184,k99_417,k99_126250,k99_84260,k99_98669,k99_92796,k99_64382,k99_34544,k99_84357,k99_70301,k99_27740,k99_41550,k99_63335,k99_12936,k99_43265,k99_56148,k99_34853,k99_13036,k99_13095,k99_134632,k99_41879,k99_134663,k99_20663,k99_43286,k99_70661,k99_134782,k99_70826,k99_13355,k99_135444,k99_20985,k99_13529,k99_13592,k99_13662,k99_78157,k99_106363,k99_78070,k99_141873,k99_85753,k99_141881,k99_13997,k99_127646,k99_127702,k99_78545,k99_99897,k99_128415
Top 5 bins out of 20	k99_50452,k99_14851,k99_78582,k99_43308,k99_64529,k99_71635,k99_15027,k99_78679,k99_43352,k99_135681,k99_93042,k99_36322,k99_57715,k99_100127,k99_127837,k99_57745,k99_86007,k99_93080,k99_135766,k99_43431,k99_36411,k99_7955,k99_22265,k99_135862,k99_57832,k99_7966,k99_22283,k99_93110,k99_29385,k99_93112,k99_135892,k99_107452,k99_107470,k99_78984,k99_43609,k99_919,k99_22335,k99_29412,k99_121667,k99_64807,k99_36493,k99_72107,k99_57988,k99_7278,k99_100426,k99_86216,k99_50909,k99_136068,k99_64910,k99_43683,k99_50935,k99_63982,k99_1036,k99_100464,k99_8276,k99_43730,k99_72164,k99_50999,k99_136129,k99_1073,k99_29669,k99_1083,k99_29690,k99_134940,k99_1094,k99_57009,k99_43821,k99_8313,k99_107783,k99_8326,k99_57012,k99_1161,k99_79340,k99_65032,k99_107932,k99_114936,k99_129144,k99_44049,k99_86528,k99_51287,k99_22728,k99_1325,k99_51304,k99_129165,k99_29838,k99_1339,k99_92459,k99_36898,k99_72516,k99_72520,k99_71178,k99_22855,k99_72532,k99_136606,k99_15990,k99_122285,k99_15992,k99_136622,k99_86794,k99_51509,k99_8568,k99_72615,k99_57033,k99_72663,k99_122337,k99_58567,k99_108249,k99_136677,k99_8636,k99_37178,k99_65635,k99_86961,k99_108320,k99_22965,k99_16213,k99_108349,k99_129508,k99_7352,k99_172,k99_37344,k99_136876,k99_1754,k99_94165,k99_115435,k99_8899,k99_136936,k99_8936,k99_87161,k99_30498,k99_80074,k99_72912,k99_115587,k99_9027,k99_16499,k99_101385,k99_135070,k99_65963,k99_108719,k99_85412,k99_52033,k99_7353,k99_92532,k99_66032,k99_101472,k99_122779,k99_80248,k99_115804,k99_59063,k99_87327,k99_16608,k99_2147,k99_115816,k99_135104,k99_130001,k99_115890,k99_52356,k99_80615,k99_115995,k99_23777,k99_66385,k99_123050,k99_113864,k99_123055,k99_16969,k99_73475,k99_87787,k99_66489,k99_101768,k99_80835,k99_73532,k99_234,k99_123215,k99_23975,k99_80880,k99_31278,k99_73593,k99_24008,k99_52773,k99_52777,k99_95150,k99_31339,k99_66690,k99_101957,k99_2693,k99_81096,k99_81124,k99_24267,k99_95387,k99_31533,k99_138266,k99_10064,k99_45863,k99_73912,k99_53153,k99_102314,k99_109867,k99_102384,k99_116774,k99_81387,k99_123682,k99_60179,k99_39001,k99_131271,k99_53299,k99_53316,k99_10393,k99_120716,k99_32023,k99_85472,k99_53395,k99_24816,k99_32040,k99_88763,k99_117105,k99_24911,k99_92706,k99_24923,k99_28787,k99_81805,k99_88913,k99_7495,k99_74542,k99_60605,k99_10594,k99_46559,k99_60634,k99_17894,k99_10621,k99_3514,k99_28815,k99_106871,k99_32439,k99_89221,k99_25247,k99_263,k99_96445,k99_7527,k99_135214,k99_3881,k99_139534,k99_132098,k99_135217,k99_106899,k99_103223,k99_117752,k99_61055,k99_75009,k99_124566,k99_85559,k99_117971,k99_96929,k99_54238,k99_7535,k99_32845,k99_111114,k99_75258,k99_18724,k99_61466,k99_99765,k99_124820,k99_4449,k99_92737,k99_11465,k99_14644,k99_26144,k99_83233,k99_11667,k99_19186,k99_140622,k99_69052,k99_28859,k99_90704,k99_64337,k99_76197,k99_90819,k99_7577,k99_50307,k99_133411,k99_69605,k99_133623,k99_34155,k99_34184,k99_55563,k99_126049,k99_48675,k99_91346,k99_5752,k99_121184,k99_417,k99_92796,k99_64382,k99_84357,k99_70301,k99_27740,k99_12936,k99_41879,k99_43286,k99_70661,k99_13355,k99_20985,k99_78157,k99_141873,k99_85753,k99_141881,k99_127646,k99_127702,k99_78545,k99_99897,k99_128415
